granary מאבוס
spreading מטה
target מטרה
Micaiah מיכיהו
fairness מישׁור
dark place מחשׁך
crookedness מטה
Matrite מטרי
<uncertain> מיכל
Meshach מישׁך
stripping מחשׂף
coming מטה
who מי
Michal מיכל
Mesha מישׁע
Mahath מחת
yarn מטוה
Me-Zahab מי זהב
water מים
Mesha מישׁע
fire holder מחתה
rod מטיל
Medeba מידבא
Mijamin מימן
uprightness מישׁרים
terror מחתה
treasure מטמן
Medad מידד
kind מין
string מיתר
breaking in מחתרת
planting מטע
best מיטב
nursing woman מינקת
pain מכאוב
broom מטאטא
savoury food מטעמים
Mica מיכא
Mephaath מיפעת
Macbenah מכבנה
slaughtering place מטבח
cloak מטפחת
Michael מיכאל
squeezing מיץ
Macbannai מכבני
lattice מכבר
perfection מכלול
Meconah מכנה
Micri מכרי
setting מלאה
cover מכבר
perfection מכלות
drawer מכנס
Mekerathite מכרתי
installation מלאים
blow מכה
perfection מכלל
tax מכס
stumbling block מכשׁול
messenger מלאך
scar מכוה
garments מכללים
covering מכסה
decay מכשׁלה
work מלאכה
site מכון
food מכלת
covering מכסה
writing מכתב
commission מלאכות
place מכונה
hidden treasures מכמנים
amount מכסה
crushing מכתה
Malachi מלאכי
origin מכורה
Micmash מכמס
Machpelah מכפלה
<uncertain> מכתם
work מלאכת
Maki מכי
net מכמר
price מכר
grinder מכתשׁ
<uncertain> מלאת
Makir מכיר
net מכמרת
client מכר
full מלא
garment מלבושׁ
Makirite מכירי
Micmash מכמשׂ
sell מכר
fullness מלא
brick מלבן
sink מכך
Micmethath מכמתת
<uncertain> מכרה
be full מלא
word מלה
enclosure מכלא
Macnadebai מכנדבי
pit מכרה
full produce מלאה
mound מלוא
salt-herb מלוח
war מלחמה
counsel מלך
Malkiram מלכירם
nip off מלק
Malluch מלוך
war מלחמת
be king מלך
Milcom מלכם
what is taken מלקוח
kingship מלוכה
mortar מלט
snare מלכדת
Malcam מלכם
spring-rain מלקושׁ
sleeping place מלון
be bald מלט
queen מלכה
queen of heaven מלכת
snuffers מלקחים
watching-place מלונה
escape מלט
Milcah מלכה
Hammoleketh מלכת
jaw מלקחים
Mallothi מלותי
Melatiah מלטיה
kingship מלכות
wither מלל
ward-robe מלתחה
salt מלח
Malluch מליכו
Melchizedek מלכי צדק
circumcise מלל
pond ממגרה
mariner מלח
rubbed wheat מלילה
Malki-Shua מלכי שׁוע
make signs מלל
measurement ממד
rag מלח
saying מליצה
Malkiel מלכיאל
Milalai מללי
Memucan ממוכן
disperse מלח
king מלך
Malkielite מלכיאלי
ox-goad מלמד
death ממותים
salt מלח
Moloch מלך
Malkijah מלכיה
be smooth מלץ
bastard ממזר
salt country מלחה
Melech מלך
Malkijah מלכיהו
guardian מלצר
what is sold ממכר
sale ממכרת
dominion ממשׁלת
count מנה
guardsmen מנזרים
lock מנעול
kingdom ממלכה
<uncertain> ממשׁק
driving מנהג
present מנחה
lock מנעל
kingdom ממלכות
sweetness ממתקים
store מנהרה
Menahem מנחם
dainties מנעמים
kingdom ממלכת
from מן
head-shaking מנוד
Manahath מנחת
sistrum מנענעים
mixed wine ממסך
manna מן
resting place מנוח
Manahath מנחת
bowl מנקית
bitterness ממר
what מן
Manoah מנוח
Manahathite מנחתי
Manasseh מנשׁה
Mamre ממרא
string מן
resting place מנוחה
destiny מני
Manassite מנשׁי
Mamre ממרא
portion מן
<uncertain> מנון
Minni מני
portion מנת
bitterness ממרורים
mocking song מנגינה
refuge מנוס
Miniamin מנימין
forced labour מס
<uncertain> ממשׁח
portion מנה
flight מנוסה
Minnith מנית
<uncertain> מס
dominion ממשׁל
mina מנה
weaver's beam מנור
<uncertain> מנלם
surrounding מסב
dominion ממשׁלה
portion מנה
lamp stand מנורה
withhold מנע
circle מסבה
dungeon מסגר
alternatively מסח
warp-threads מסכת
number מספר
ford מעברה
bulwark-maker מסגר
<uncertain> מסחר
highway מסלה
Mispar מספר
course מעגל
bulwark מסגרת
covering מסך
highway מסלול
Mispereth מספרת
camp circle מעגל
foundation מסד
mixture מסך
nail מסמר
assign מסר
shake מעד
<uncertain> מסדרון
mix מסך
melt מסס
Moseroth מסרות
Maadai מעדי
proving מסה
molten image מסכה
breaking מסע
obligation מסרת
Moadiah מעדיה
measure מסה
covering מסכה
quarry-stone מסע
shelter מסתור
dainty מעדן
despair מסה
alliance מסכה
<uncertain> מסעד
hiding-place מסתר
reluctance מעדנת
Massah מסה
covering מסכה
wailing מספד
making hide face מסתר
hoe מעדר
melt מסה
poor מסכן
fodder מספוא
work מעבד
grain מעה
mask מסוה
storages מסכנות
veils מספחות
foundry מעבה
venue מעוג
hedge מסוכה
poverty מסכנת
scab מספחת
sweep מעבר
fort מעוז
Maoch מעוך
be little מעט
Maacath מעכת
deed מעלל
billhook מעצד
dwelling מעון
wrap מעטה
Maacathite מעכתי
standing מעמד
hindrance מעצור
Maon מעון
<uncertain> מעטה
top מעל
position מעמד
parapet מעקה
Maon מעון
over-garment? מעטפת
unfaithfulness מעל
heavy stone מעמסה
rugged country מעקשׁים
Meunites מעונים
<uncertain> מעי
lifting מעל
depths מעמקים
nakedness מער
Meonothai מעונתי
Maai מעי
be unfaithful מעל
hiding place מענה
sunset מערב
darkness מעוף
coat מעיל
the Pass of Adummim מעלה אדמים
answer מענה
exchange מערב
nakedness מעור
bowels מעים
the way up to Gur מעלה גור
ploughing line מענה
<uncertain> מערבה
Maaziah מעזיה
well מעין
the Pass of Heres מעלה החרס
purpose מענה
cave מערה
Maaziah מעזיהו
squeeze מעך
Scorpion Pass מעלה עקרבים
<uncertain> מענית
vicinity מערה
<uncertain> מעזן
Maacah מעכה
ascent מעלה
Maaz מעץ
barren field מערה
little מעט
Maacah מעכה
ascent מעלה
pain מעצבה
Mearah מערה
arrangement מערך
Memphis מף
idol מפלצת
opening מפתח
matzo מצה
row מערכה
target מפגע
layer מפלשׂ
podium מפתן
contention מצה
row מערכת
bellow מפח
carcass מפלת
chaff מץ
Mozah מצה
naked persons מערמים
expiring מפח
work מפעל
<uncertain> מץ
drain מצה
terror מערצה
Mephibosheth מפיבשׁת
shattering מפץ
find מצא
neighing מצהלות
Maarath מערת
Muppim מפים
club מפץ
standing place מצב
net מצוד
extortion מעשׁקות
<uncertain> מפיץ
order מפקד
post מצב
fortification מצודה
deed מעשׂה
refuse מפל
landing place מפרץ
massebe מצבה
net מצודה
Maasai מעשׂי
wonders מפלאות
neck מפרקת
guard מצבה
net מצודה
Maaseiah מעשׂיה
division מפלגה
sail מפרשׂ
Mezobaite מצביה
commandment מצוה
Maaseiah מעשׂיהו
decay מפלה
posterior מפשׂעה
stump מצבת
depth מצולה
tenth מעשׂר
escape מפלט
key מפתח
unapproachable מצד
stress מצוק
support מצוק
step מצעד
musty smell מק
taking מקח
divination מקסם
stress מצוקה
little מצער
hammer מקבת
wares מקחות
Makaz מקץ
stress מצור
watch-tower מצפה
hole מקבת
burning place מקטר
corner post מקצוע
siege מצור
Mizpah מצפה
Makkedah מקדה
incense altars מקטרות
wood-scraper מקצעה
Egypt מצור
Mizpeh מצפה
sanctuary מקדשׁ
censer מקטרת
putrefy מקק
fortification מצורה
hidden treasures מצפונים
assembly מקהל
rod מקל
convocation מקרא
forehead מצח
sip מצץ
Makheloth מקהלת
Mikloth מקלות
accident מקרה
front side מצחה
distress מצר
collection מקוה
refuge מקלט
beam-work מקרה
bell מצלה
Egyptian מצרי
reservoir מקוה
carving מקלעת
coolness מקרה
cymbals מצלתים
Egypt מצרים
hope מקוה
purchase מקנה
hammered work מקשׁה
turban מצנפת
melting pot מצרף
place מקום
purchase מקנה
cucumber field מקשׁה
couch מצע
strife מצת
well מקור
Mikneiah מקניהו
hair setting מקשׁה
bitter מר
<uncertain> מרבה
rebellion מרדות
Merom מרום
rebellion מרי
drop מר
great number מרבית
Merodach-Baladan מרדך בלאדן
running מרוץ
fatling מריא
myrrh מר
resting place מרבץ
Marduk מרדך
running מרוצה
Merib-Baal מריב בעל
be rebellious מרא
resting place מרבץ
Mordecai מרדכי
extortion מרוצה
quarrel מריבה
toss מרא
fatted calf מרבק
<uncertain> מרדף
massage מרוקים
Meribah מריבה
sight מראה
rest מרגוע
bitterness מרה
Maroth מרות
Moriah מריה
vision מראה
feet-place מרגלת
Marah מרה
banquet מרזח
Meraiah מריה
crop מראה
heap of stones מרגמה
rebel מרה
rub מרח
Meraioth מריות
head-place מראשׁות
resting place מרגעה
homelessness מרוד
wide place מרחב
Miriam מרים
Merab מרב
rebellion מרד
Meroz מרוז
distance מרחק
bitterness מרירות
coverlets מרבדים
Mered מרד
crushed מרוח
cooking pot מרחשׁת
bitter מרירי
abundance מרבה
rebel מרד
high place מרום
pull off מרט
timidity מרך
chariot מרכב
evil deed מרע
herb מרקח
Merathaim מרתים
mouth of womb משׁבר
chariot מרכבה
pasture מרעה
ointment pot מרקחה
Meshech משׁ
ruin משׁבת
chariot מרכבת
pasturage מרעית
ointment mixture מרקחת
claim משׁא
mistake משׁגה
<uncertain> מרכלת
Maralah מרעלה
bitter מרר
Mesha משׁא
loan משׁה
deceit מרמה
healing מרפא
be bitter מרר
watering-channel משׁאב
Moses משׁה
Mirmah מרמה
calmness מרפא
gall-bladder מררה
loan משׁאה
draw out משׁה
Meremoth מרמות
troubled water מרפשׂ
gall מררה
deceiving משׁאון
desolation משׁואה
trampled land מרמס
hurt מרץ
Merarite מררי
Mishal משׁאל
deceptions משׁואות
Meronothite מרנתי
awl מרצע
Merari מררי
request משׁאלה
Meshobab משׁובב
Meres מרס
pavement מרצפת
Mareshah מרשׁה
kneading-trough משׁארת
apostasy משׁובה
Marsena מרסנא
juice מרק
Mareshah מרשׁה
settings משׁבצות
error משׁוגה
friend מרע
polish מרק
wickedness מרשׁעת
breaker משׁבר
oar משׁוט
smear משׁח
writing משׁטר
likeness משׁל
Meshullemeth משׁלמת
hollow way משׁעול
anointment משׁחה
textile משׁי
Mashal משׁל
devastation משׁמה
<uncertain> משׁעי
anointment משׁחה
Meshezabel משׁיזבאל
say proverb משׁל
fatness משׁמן
Misham משׁעם
portion משׁחה
anointed משׁיח
rule משׁל
Mishmannah משׁמנה
support משׁען
portion משׁחה
bag משׁך
sending משׁלוח
dishes משׁמנים
support משׁען
destruction משׁחית
Meshech משׁך
undertaking משׁלח
rumour משׁמע
support משׁענה
<uncertain> משׁחר
draw משׁך
discharge משׁלחת
Mishma משׁמע
support משׁענת
destruction משׁחת
couch משׁכב
Meshullam משׁלם
subject משׁמעת
clan משׁפחה
destruction משׁחת
cords משׁכות
Meshillemoth משׁלמות
guard משׁמר
clan משׁפחת
corruption משׁחת
dwelling-place משׁכן
Meshelemiah משׁלמיה
guard-post משׁמרת
justice משׁפט
scattering משׁטוח
proverb משׁל
Meshelemiah משׁלמיהו
second משׁנה
saddle-bags משׁפתים
spreading-place משׁטח
dominion משׁל
Meshillemith משׁלמית
plunder משׁסה
<uncertain> משׁק
rushing משׁק
burden משׂא
animosity משׂטמה
man מת
Mattan מתן
almond-like משׁקד
utterance משׂא
hedge משׂכה
straw-heap מתבן
present מתנה
butler, irrigated, drink משׁקה
partiality משׂא
<uncertain> משׂכיל
bridle מתג
Mattanah מתנה
weight משׁקול
Massa משׂא
figure משׂכית
sweet מתוק
Mithnite מתני
lintel משׁקוף
lifting up משׂאה
wage משׂכרת
Methushael מתושׁאל
Mattenai מתני
weight משׁקל
lifting up משׂאת
nail משׂמרה
Methuselah מתושׁלח
Mattaniah מתניה
leveller משׁקלת
secure height משׂגב
deviation משׂפח
spread out מתח
Mattaniah מתניהו
clear water משׁקע
hedge משׂוכה
dominion משׂרה
when מתי
hips מתנים
liquid משׁרה
saw משׂור
Misrephoth Maim משׂרפות מים
proportion מתכנת
sweetness מתק
Mishraite משׁרעי
mesura משׂורה
burning משׂרפות
jaw-bones מתלעות
sweet מתק
grope משׁשׁ
joy משׂושׂ
Masrekah משׂרקה
sound spot מתם
be sweet מתק
drinking משׁתה
laughter משׂחק
pan משׂרת
present מתן
Mithcah מתקה
Mithredath מתרדת
gift מתת
Mattattah מתתה
Mattithiah מתתיה
Mattithiah מתתיהו 
